qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,q1sec,q2sec,q1_rank
203,27,7,5,14,15,1:15.927,1:15.858,\N,75.92699999999999,75.858,12
204,27,6,3,8,16,1:16.083,\N,\N,76.083,NA,16
205,27,12,4,6,17,1:16.189,\N,\N,76.189,NA,17
206,27,22,11,17,18,1:16.246,\N,\N,76.246,NA,18
207,27,16,10,20,19,1:16.657,\N,\N,76.657,NA,19
208,27,21,10,21,20,1:16.963,\N,\N,76.963,NA,20
209,28,1,1,22,1,1:19.376,1:19.473,1:20.899,79.376,79.473,1
210,28,5,1,23,2,1:19.945,1:19.480,1:21.140,79.945,79.48,4
211,28,13,6,2,3,1:19.578,1:19.068,1:21.191,79.578,79.068,2
212,28,9,2,4,4,1:20.053,1:19.776,1:21.281,80.053,79.776,7
213,28,10,7,12,5,1:19.980,1:19.246,1:21.326,79.98,79.246,5
214,28,8,6,1,6,1:20.006,1:19.546,1:21.516,80.006,79.54599999999999,6
215,28,4,4,5,7,1:20.229,1:19.816,1:21.698,80.229,79.816,10
216,28,17,9,10,8,1:20.073,1:20.046,1:21.732,80.07300000000001,80.04599999999999,8
217,28,15,7,11,9,1:19.942,1:19.486,1:21.767,79.94200000000001,79.486,3
218,28,12,4,6,10,1:20.583,1:20.131,1:22.371,80.583,80.131,12
219,28,20,5,15,11,1:20.157,1:20.144,\N,80.157,80.144,9
220,28,18,11,16,12,1:20.888,1:20.332,\N,80.888,80.332,15
221,28,14,9,9,13,1:20.505,1:20.502,\N,80.505,80.502,11
222,28,7,5,14,14,1:20.640,1:20.963,\N,80.64,80.963,13
223,28,3,3,7,15,1:20.748,\N,\N,80.748,NA,14
224,28,2,2,3,16,1:21.045,\N,\N,81.045,NA,16
225,28,6,3,8,17,1:21.085,\N,\N,81.08500000000001,NA,17
226,28,22,11,17,18,1:21.332,\N,\N,81.332,NA,18
227,28,21,10,21,19,1:21.670,\N,\N,81.67,NA,19
228,28,16,10,20,20,1:22.113,\N,\N,82.113,NA,20
229,29,13,6,2,1,1:38.176,1:37.859,1:38.989,98.176,97.85900000000001,3
230,29,1,1,22,2,1:38.464,1:37.954,1:39.199,98.464,97.95400000000001,6
231,29,9,2,4,3,1:38.347,1:38.050,1:39.392,98.34700000000001,98.05,5
232,29,8,6,1,4,1:38.703,1:38.229,1:39.488,98.703,98.229,13
233,29,5,1,23,5,1:38.656,1:38.120,1:39.937,98.656,98.12,11
234,29,20,5,15,6,1:38.141,1:37.842,1:40.142,98.14099999999999,97.842,2
235,29,15,7,11,7,1:37.948,1:37.928,1:40.309,97.94800000000001,97.928,1
236,29,2,2,3,8,1:38.738,1:37.859,1:40.631,98.738,97.85900000000001,14
237,29,3,3,7,9,1:38.595,1:38.336,1:40.721,98.595,98.336,9
238,29,7,5,14,10,1:38.622,1:38.417,1:40.750,98.622,98.417,10
239,29,6,3,8,11,1:38.667,1:38.428,\N,98.667,98.428,12
240,29,4,4,5,12,1:38.268,1:38.435,\N,98.268,98.435,4
241,29,10,7,12,13,1:38.532,1:38.499,\N,98.532,98.499,7
242,29,17,9,10,14,1:38.559,1:38.515,\N,98.559,98.515,8
243,29,12,4,6,15,1:38.787,1:38.744,\N,98.787,98.744,15
244,29,18,11,16,16,1:38.880,\N,\N,98.88,NA,16
245,29,14,9,9,17,1:39.235,\N,\N,99.235,NA,17
246,29,21,10,21,18,1:39.268,\N,\N,99.268,NA,18
247,29,22,11,17,19,1:39.811,\N,\N,99.811,NA,19
248,29,16,10,20,20,1:39.943,\N,\N,99.943,NA,20
249,30,1,1,22,1,1:46.887,1:46.088,1:47.338,106.887,106.088,4
250,30,13,6,2,2,1:46.873,1:46.391,1:47.678,106.87299999999999,106.39099999999999,3
251,30,5,1,23,3,1:46.812,1:46.037,1:47.815,106.812,106.037,2
252,30,8,6,1,4,1:46.960,1:46.298,1:47.992,106.96000000000001,106.298,5
253,30,2,2,3,5,1:47.419,1:46.311,1:48.315,107.419,106.311,14
254,30,4,4,5,6,1:47.154,1:46.491,1:48.504,107.154,106.491,10
255,30,17,9,10,7,1:47.270,1:46.814,1:48.736,107.27000000000001,106.814,11
256,30,9,2,4,8,1:47.093,1:46.494,1:48.763,107.093,106.494,7
257,30,7,5,14,9,1:46.777,1:46.544,1:48.951,106.777,106.544,1
258,30,20,5,15,10,1:47.152,1:46.804,1:50.319,107.152,106.804,9
259,30,15,7,11,11,1:47.400,1:46.949,\N,107.4,106.949,13
260,30,12,4,6,12,1:47.052,1:46.965,\N,107.05199999999999,106.965,6
261,30,10,7,12,13,1:47.359,1:46.995,\N,107.35900000000001,106.995,12
262,30,14,9,9,14,1:47.132,1:47.018,\N,107.132,107.018,8
263,30,3,3,7,15,1:47.503,1:47.429,\N,107.503,107.429,15
264,30,22,11,17,16,1:48.153,\N,\N,108.15299999999999,NA,16
265,30,18,11,16,17,1:48.211,\N,\N,108.211,NA,17
266,30,16,10,20,18,1:48.226,\N,\N,108.226,NA,18
267,30,6,3,8,19,1:48.268,\N,\N,108.268,NA,19
268,30,21,10,21,20,1:48.447,\N,\N,108.447,NA,20
269,31,20,5,15,1,1:35.464,1:35.837,1:37.555,95.464,95.837,3
270,31,5,1,23,2,1:35.214,1:35.843,1:37.631,95.214,95.843,1
271,31,17,9,10,3,1:36.001,1:36.306,1:38.117,96.001,96.306,12
272,31,7,5,14,4,1:35.543,1:36.175,1:38.445,95.543,96.175,6
273,31,3,3,7,5,1:35.485,1:35.898,1:38.767,95.485,95.898,4
274,31,13,6,2,6,1:35.536,1:36.676,1:38.894,95.536,96.676,5
275,31,15,7,11,7,1:35.906,1:36.008,1:39.152,95.906,96.00800000000001,10
276,31,4,4,5,8,1:36.297,1:36.518,1:39.751,96.297,96.518,14
277,31,10,7,12,9,1:35.737,1:36.525,1:39.787,95.737,96.525,9
278,31,2,2,3,10,1:35.709,1:36.626,1:39.906,95.709,96.626,8
279,31,9,2,4,11,1:35.553,1:36.697,\N,95.553,96.697,7
280,31,21,10,21,12,1:36.280,1:36.698,\N,96.28,96.69800000000001,13
281,31,14,9,9,13,1:36.485,1:37.284,\N,96.485,97.28399999999999,15
282,31,8,6,1,14,1:35.965,1:37.522,\N,95.965,97.52199999999999,11
283,31,1,1,22,15,1:35.394,1:39.265,\N,95.394,99.265,2
284,31,22,11,17,16,1:36.510,\N,\N,96.50999999999999,NA,16
285,31,12,4,6,17,1:36.630,\N,\N,96.63,NA,17
286,31,6,3,8,18,1:36.653,\N,\N,96.65299999999999,NA,18
287,31,18,11,16,19,1:37.006,\N,\N,97.006,NA,19
288,31,16,10,20,20,1:37.417,\N,\N,97.417,NA,20
289,32,13,6,2,1,1:44.519,1:44.014,1:44.801,104.519,104.01400000000001,4
290,32,1,1,22,2,1:44.501,1:44.932,1:45.465,104.501,104.932,3
291,32,8,6,1,3,1:44.282,1:44.232,1:45.617,104.282,104.232,1
292,32,9,2,4,4,1:44.740,1:44.519,1:45.779,104.74000000000001,104.519,5
293,32,5,1,23,5,1:44.311,1:44.207,1:45.873,104.311,104.207,2
294,32,2,2,3,6,1:45.548,1:44.520,1:45.964,105.548,104.52000000000001,12
295,32,20,5,15,7,1:45.042,1:44.261,1:46.244,105.042,104.261,7
296,32,10,7,12,8,1:45.184,1:44.441,1:46.328,105.184,104.441,10
297,32,3,3,7,9,1:45.103,1:44.429,1:46.611,105.10300000000001,104.429,8
298,32,6,3,8,10,1:45.127,1:44.826,1:47.547,105.12700000000001,104.826,9
299,32,15,7,11,11,1:45.642,1:45.038,\N,105.642,105.038,13
300,32,18,11,16,12,1:45.660,1:45.133,\N,105.66,105.13300000000001,14
301,32,17,9,10,13,1:45.493,1:45.212,\N,105.493,105.212,11
302,32,14,9,9,14,1:46.028,1:45.298,\N,106.02799999999999,105.298,15
303,32,4,4,5,15,1:44.971,\N,\N,104.971,NA,6
304,32,12,4,6,16,1:46.037,\N,\N,106.037,NA,16
